failed_logins,request_rate,commands_count,sql_payload,honeytoken_access,session_time,label
0,15,2,0,0,1215,Normal
142,221,2,0,0,224,BruteForce
3,36,2,0,0,1452,Normal
11,1405,2,0,0,68,Recon
0,1059,6,0,0,112,Recon
2,28,3,0,0,1095,Normal
1,3,4,0,0,766,Normal
2,18,3,0,0,720,Normal
17,1376,5,0,0,6,Recon
6,17,49,1,1,447,Injection
1,4,5,0,0,1620,Normal
11,761,4,0,0,18,Recon
7,49,35,1,0,397,Injection
63,316,0,0,0,50,BruteForce
0,1,0,0,0,640,Normal
3,12,12,0,1,1762,DataExfil
3,35,2,0,0,408,Normal
80,127,2,0,0,210,BruteForce
72,147,2,0,0,71,BruteForce
2,22,2,0,0,1690,Normal
0,14,2,0,0,1148,Normal
181,458,2,0,0,216,BruteForce
1,13,2,0,0,1718,Normal
0,56,17,0,1,695,DataExfil
4,38,27,1,0,302,Injection
1,6,3,0,0,1171,Normal
3,30,5,0,0,1474,Normal
2,28,0,0,0,1374,Normal
0,1906,9,0,0,81,Recon
2,13,18,0,1,1857,DataExfil
2,32,0,0,0,1256,Normal
1,12,5,0,0,1529,Normal
4,122,31,1,0,61,Injection
93,442,0,0,0,233,BruteForce
18,1753,5,0,0,48,Recon
1,32,3,0,0,1582,Normal
2,21,19,0,1,893,DataExfil
3,34,5,0,0,1101,Normal
183,196,0,0,0,133,BruteForce
132,358,2,0,0,156,BruteForce
2,33,1,0,0,991,Normal
3,25,1,0,0,270,Normal
81,198,2,0,0,261,BruteForce
3,2,0,0,0,1447,Normal
4,1660,7,0,0,13,Recon
2,16,2,0,0,523,Normal
0,28,8,0,1,1186,DataExfil
3,703,4,0,0,103,Recon
0,35,0,0,0,1033,Normal
1,2,5,0,0,1306,Normal
8,77,47,1,0,563,Injection
174,294,0,0,0,137,BruteForce
154,474,1,0,0,247,BruteForce
148,150,1,0,0,273,BruteForce
60,385,0,0,0,293,BruteForce
0,70,33,1,0,251,Injection
56,271,1,0,0,55,BruteForce
2,1660,8,0,0,97,Recon
0,31,2,0,0,819,Normal
4,25,11,0,1,1784,DataExfil
3,18,0,0,0,685,Normal
7,33,46,1,0,214,Injection
1,17,0,0,0,1536,Normal
6,35,49,1,0,467,Injection
6,635,4,0,0,69,Recon
1,16,5,0,0,1091,Normal
3,38,6,0,1,2423,DataExfil
125,150,0,0,0,195,BruteForce
164,249,1,0,0,67,BruteForce
3,6,5,0,0,1122,Normal
0,8,4,0,0,1715,Normal
0,39,3,0,0,893,Normal
3,30,2,0,0,942,Normal
3,13,1,0,0,755,Normal
2,129,33,1,0,405,Injection
0,23,0,0,0,1132,Normal
1,1,1,0,0,1239,Normal
87,188,0,0,0,281,BruteForce
108,377,0,0,0,256,BruteForce
1,16,2,0,0,1116,Normal
0,14,3,0,0,1212,Normal
1,5,3,0,0,1031,Normal
3,21,3,0,0,1432,Normal
0,23,1,0,0,641,Normal
3,1401,4,0,0,99,Recon
2,32,0,0,0,1135,Normal
3,25,38,1,1,317,Injection
3,32,2,0,0,971,Normal
163,132,0,0,0,188,BruteForce
3,7,5,0,1,2040,DataExfil
1,44,37,1,0,477,Injection
2,4,1,0,0,1644,Normal
2,29,3,0,0,848,Normal
0,40,14,0,1,2492,DataExfil
2,53,7,0,1,2171,DataExfil
2,32,5,0,0,156,Normal
2,13,0,0,0,986,Normal
0,20,0,0,0,1485,Normal
2,36,3,0,0,564,Normal
11,864,7,0,0,32,Recon
19,1450,5,0,0,73,Recon
0,21,3,0,0,1708,Normal
0,43,17,0,1,1665,DataExfil
13,1846,5,0,0,39,Recon
2,15,6,0,1,1350,DataExfil
1,17,4,0,0,1373,Normal
0,9,1,0,0,914,Normal
4,38,33,1,0,424,Injection
3,17,0,0,0,1444,Normal
3,35,7,0,1,3092,DataExfil
2,27,1,0,0,1674,Normal
2,13,1,0,0,1363,Normal
187,416,2,0,0,10,BruteForce
8,122,39,1,1,176,Injection
11,1284,5,0,0,84,Recon
186,119,0,0,0,56,BruteForce
53,242,2,0,0,10,BruteForce
157,358,2,0,0,21,BruteForce
15,1567,6,0,0,80,Recon
0,8,1,0,0,1491,Normal
175,285,1,0,0,37,BruteForce
0,36,2,0,0,621,Normal
0,33,4,0,0,580,Normal
2,143,32,1,0,509,Injection
1,5,0,0,0,493,Normal
0,15,9,0,1,662,DataExfil
2,27,0,0,0,1604,Normal
0,35,0,0,0,524,Normal
1,28,0,0,0,828,Normal
5,1370,5,0,0,27,Recon
4,14,14,0,1,682,DataExfil
1,9,5,0,0,120,Normal
12,1048,1,0,0,108,Recon
131,194,2,0,0,163,BruteForce
1,3,2,0,0,1449,Normal
3,9,18,0,1,1362,DataExfil
3,23,4,0,0,972,Normal
114,202,1,0,0,201,BruteForce
1,34,1,0,0,917,Normal
91,348,1,0,0,39,BruteForce
90,180,0,0,0,294,BruteForce
3,17,1,0,0,904,Normal
3,5,1,0,0,172,Normal
1,11,2,0,0,230,Normal
2,16,2,0,0,1517,Normal
3,113,18,1,0,254,Injection
2,33,6,0,1,660,DataExfil
2,21,4,0,0,1609,Normal
0,22,4,0,0,957,Normal
0,12,1,0,0,1189,Normal
1,26,4,0,0,1216,Normal
2,22,5,0,0,226,Normal
16,1649,4,0,0,5,Recon
2,15,5,0,0,645,Normal
117,315,1,0,0,163,BruteForce
3,7,2,0,0,1766,Normal
2,51,16,0,1,3453,DataExfil
54,291,0,0,0,128,BruteForce
1,39,0,0,0,1416,Normal
1,25,0,0,0,1668,Normal
107,493,2,0,0,242,BruteForce
2,36,5,0,0,153,Normal
152,335,2,0,0,51,BruteForce
1,26,1,0,0,1586,Normal
0,6,4,0,0,1520,Normal
1,21,5,0,0,1725,Normal
3,30,2,0,0,1589,Normal
2,24,0,0,0,878,Normal
2,37,3,0,0,1039,Normal
1,20,3,0,0,194,Normal
0,34,12,0,1,2621,DataExfil
8,88,25,1,0,494,Injection
4,10,14,0,1,1741,DataExfil
3,29,26,1,0,149,Injection
4,15,19,0,1,3492,DataExfil
173,277,1,0,0,270,BruteForce
3,2,4,0,0,1311,Normal
0,41,13,0,1,3432,DataExfil
2,24,5,0,0,1562,Normal
0,5,5,0,0,355,Normal
0,11,0,0,0,707,Normal
0,22,3,0,0,1492,Normal
0,37,5,0,0,917,Normal
4,9,7,0,1,677,DataExfil
171,188,0,0,0,51,BruteForce
3,8,5,0,0,919,Normal
1,33,0,0,0,784,Normal
2,2,5,0,0,940,Normal
18,1662,3,0,0,74,Recon
6,1802,8,0,0,46,Recon
2,29,0,0,0,597,Normal
3,33,10,0,1,1720,DataExfil
6,42,18,1,0,581,Injection
1,33,5,0,0,925,Normal
86,327,0,0,0,225,BruteForce
54,256,0,0,0,166,BruteForce
3,2,2,0,0,214,Normal
75,381,2,0,0,292,BruteForce
2,10,5,0,0,1277,Normal
2,26,5,0,0,482,Normal
0,18,0,0,0,1112,Normal
3,12,3,0,0,475,Normal
4,1487,5,0,0,76,Recon
0,101,45,1,0,110,Injection
7,50,36,1,1,464,Injection
3,23,0,0,0,1144,Normal
2,44,19,0,1,3308,DataExfil
0,9,1,0,0,1579,Normal
1,45,7,0,1,1174,DataExfil
1,11,5,0,0,505,Normal
2,34,2,0,0,1672,Normal
147,350,2,0,0,191,BruteForce
2,6,4,0,0,1304,Normal
2,22,1,0,0,275,Normal
0,7,0,0,0,1227,Normal
3,22,3,0,0,1206,Normal
16,926,1,0,0,100,Recon
2,19,5,0,0,151,Normal
0,29,5,0,0,1287,Normal
57,356,1,0,0,184,BruteForce
152,213,1,0,0,175,BruteForce
3,5,12,0,1,3572,DataExfil
